[bwa_index] Pack FASTA... 202.57 sec
[bwa_index] Construct BWT for the packed sequence...
[BWTIncConstructFromPacked] 3080 iterations done. 30800000000 characters processed.
[BWTIncConstructFromPacked] 3090 iterations done. 30900000000 characters processed.
[BWTIncConstructFromPacked] 3100 iterations done. 31000000000 characters processed.
[BWTIncConstructFromPacked] 3110 iterations done. 31100000000 characters processed.
[BWTIncConstructFromPacked] 3120 iterations done. 31200000000 characters processed.
[BWTIncConstructFromPacked] 3130 iterations done. 31300000000 characters processed.
[BWTIncConstructFromPacked] 3140 iterations done. 31400000000 characters processed.
[BWTIncConstructFromPacked] 3150 iterations done. 31500000000 characters processed.
[BWTIncConstructFromPacked] 3160 iterations done. 31600000000 characters processed.
[BWTIncConstructFromPacked] 3170 iterations done. 31700000000 characters processed.
[BWTIncConstructFromPacked] 3180 iterations done. 31800000000 characters processed.
[BWTIncConstructFromPacked] 3190 iterations done. 31900000000 characters processed.
[BWTIncConstructFromPacked] 3200 iterations done. 32000000000 characters processed.
[BWTIncConstructFromPacked] 3210 iterations done. 32100000000 characters processed.
[BWTIncConstructFromPacked] 3220 iterations done. 32200000000 characters processed.
[BWTIncConstructFromPacked] 3230 iterations done. 32300000000 characters processed.
[BWTIncConstructFromPacked] 3240 iterations done. 32400000000 characters processed.
[BWTIncConstructFromPacked] 3250 iterations done. 32500000000 characters processed.
[BWTIncConstructFromPacked] 3260 iterations done. 32600000000 characters processed.
[BWTIncConstructFromPacked] 3270 iterations done. 32700000000 characters processed.
[BWTIncConstructFromPacked] 3280 iterations done. 32800000000 characters processed.
[BWTIncConstructFromPacked] 3290 iterations done. 32900000000 characters processed.
[BWTIncConstructFromPacked] 3300 iterations done. 33000000000 characters processed.
[BWTIncConstructFromPacked] 3310 iterations done. 33100000000 characters processed.
[BWTIncConstructFromPacked] 3320 iterations done. 33200000000 characters processed.
[BWTIncConstructFromPacked] 3330 iterations done. 33300000000 characters processed.
[BWTIncConstructFromPacked] 3340 iterations done. 33400000000 characters processed.
[BWTIncConstructFromPacked] 3350 iterations done. 33500000000 characters processed.
[BWTIncConstructFromPacked] 3360 iterations done. 33600000000 characters processed.
[BWTIncConstructFromPacked] 3370 iterations done. 33700000000 characters processed.
[BWTIncConstructFromPacked] 3380 iterations done. 33800000000 characters processed.
[BWTIncConstructFromPacked] 3390 iterations done. 33900000000 characters processed.
[BWTIncConstructFromPacked] 3400 iterations done. 34000000000 characters processed.
[BWTIncConstructFromPacked] 3410 iterations done. 34100000000 characters processed.
[BWTIncConstructFromPacked] 3420 iterations done. 34200000000 characters processed.
[BWTIncConstructFromPacked] 3430 iterations done. 34300000000 characters processed.
[BWTIncConstructFromPacked] 3440 iterations done. 34400000000 characters processed.
